Catalog Scan Log: 5/19/2014 - 16:9
 
Catalogs with incorrect CRC in Catalog DESC file:
 
Packages in Catalogs with incorrect CRC values:
PackageID	Package Name	Title	Released	Category	Setup	Language	Valid	XML2 Path	CRC from Catalog	CRC Actual	Comment	
w1vdo49us17_732	VDO_W1VD_732	AMD Discrete VGA Driver - 7 [32]	8/1/2013 12:00:00 AM	Video	%PACKAGEPATH%\Bin\ATISetup.exe -Noui -Install -Output -log "%SystemDrive%\AMDinstall.log"		no	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_732_2_.xml	fdf3f48a272c5468f327046fc1c3c74a465005049330047d5f144e3efac4b173	64e11f670372c38bb2c2e1d6aa7a07a70f22c7850bf912f82a2cb57d4fd2304a	10AC_Win7.xml	
w1vdo49us17_764	VDO_W1VD_764	AMD Discrete VGA Driver - 7 [64]	8/1/2013 12:00:00 AM	Video	%PACKAGEPATH%\Bin64\ATISetup.exe -Noui -Install -Output -log "%SystemDrive%\AMDinstall.log"		no	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_764_2_.xml	3a78a3f27ba7c2843487e9614920f83060eab1a985f35a8be50fc742d8defe18	92e70d5d3c6170ff76f35f0633e9da64316e6bb19619f4994aff7ba800bb94d3	10AC_Win7.xml	
 
Down level packages:
Package ID	Package Name	Released	Catalog found in	Package XML2 URL
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2500_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2541_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/2542_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/4323_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
g1io15ww	IMSM64	6/27/2012	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1io15ww_2_.xml
6iio10ww	IMSM64	3/13/2009	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iio10ww_2_.xml
g1im15ww	IMSM	6/27/2012	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/g1im15ww_2_.xml
6iim10ww	IMSM	9/27/2009	http://download.lenovo.com/catalog/4326_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/6iim10ww_2_.xml
guq706ww	QUICK_GUQ7	3/31/2014	http://download.lenovo.com/catalog/20A7_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq706ww_2_.xml
guq703ww	QUICK_GUQ7	2/25/2014	http://download.lenovo.com/catalog/20A7_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq703ww_2_.xml
guq706ww	QUICK_GUQ7	3/31/2014	http://download.lenovo.com/catalog/20A8_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq706ww_2_.xml
guq703ww	QUICK_GUQ7	2/25/2014	http://download.lenovo.com/catalog/20A8_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq703ww_2_.xml
guq706ww	QUICK_GUQ7	3/31/2014	http://download.lenovo.com/catalog/20AJ_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq706ww_2_.xml
guq703ww	QUICK_GUQ7	2/25/2014	http://download.lenovo.com/catalog/20AJ_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq703ww_2_.xml
guq706ww	QUICK_GUQ7	3/31/2014	http://download.lenovo.com/catalog/20AK_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq706ww_2_.xml
guq703ww	QUICK_GUQ7	2/25/2014	http://download.lenovo.com/catalog/20AK_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/guq703ww_2_.xml
d1etn08us17ws_732	INTELLAN_C2GA_S32	7/17/2013	http://download.lenovo.com/catalog/2551_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/d1etn08us17ws_732_2_.xml
c2etn31us17_s32	INTELLAN_C2GA_S32	5/15/2012	http://download.lenovo.com/catalog/2551_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/c2etn31us17_s32_2_.xml
d1etn08us17ws_732	INTELLAN_C2GA_S32	7/17/2013	http://download.lenovo.com/catalog/2552_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/d1etn08us17ws_732_2_.xml
c2etn31us17_s32	INTELLAN_C2GA_S32	5/15/2012	http://download.lenovo.com/catalog/2552_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/c2etn31us17_s32_2_.xml
d1etn08us17ws_732	INTELLAN_C2GA_S32	7/17/2013	http://download.lenovo.com/catalog/2553_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/d1etn08us17ws_732_2_.xml
c2etn31us17_s32	INTELLAN_C2GA_S32	5/15/2012	http://download.lenovo.com/catalog/2553_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/c2etn31us17_s32_2_.xml
